outcome,effect,k,mu,se,ci_lo,ci_hi,tau2,Q,I2
q08,HI_minus_LI,5,0.1174514533300367,0.03803626627235747,0.04290037143621607,0.19200253522385735,0.0065149203099447986,43.576883088045065,0.9082082123239933
q08,HP_minus_LP,5,0.14046565096113925,0.04615286636713586,0.050006032881552975,0.23092526904072552,0.010032228134015208,89.43149608669846,0.9552730282391537
q08,BF_minus_WM,5,0.01071916829043384,0.010158270673885061,-0.00919104223038088,0.03062937881124856,0.0003637756932906536,19.287760595343748,0.7926145972090902
q09,HI_minus_LI,5,-0.149007307126359,0.06633912370475366,-0.27903198958767617,-0.01898262466504186,0.018199800792021395,42.677794781154404,0.9062744450477953
q09,HP_minus_LP,5,-0.1676622083592235,0.06210059542442754,-0.2893793753911015,-0.045945041327345504,0.01606981122843381,49.02393980185569,0.9184072105145538
q09,BF_minus_WM,5,-0.02151819240620697,0.010794772322149041,-0.04267594615761909,-0.00036043865479484793,7.807270523562904e-05,4.58759721902883,0.12808387288045778
q10,HI_minus_LI,5,-0.0030173964359974156,0.04684152588919005,-0.09482678717880991,0.08879199430681509,0.009188911878040279,35.728818913236395,0.8880455575731856
q10,HP_minus_LP,5,0.19764707870567966,0.0471116972576831,0.10530815208062079,0.28998600533073854,0.008652343788615088,22.67280883105711,0.8235772184291159
q10,BF_minus_WM,5,0.06104235376795531,0.032736423595335136,-0.003121036478901558,0.1252057440148122,0.004412013908811403,27.867934347894007,0.8564658596483926
q11,HI_minus_LI,5,0.027893119131893476,0.014813824276008853,-0.0011419764490838737,0.05692821471287082,0.0006103136529453559,12.354802486900969,0.6762392596530011
q11,HP_minus_LP,5,0.11182714730612923,0.04047452945791354,0.0324970695686187,0.19115722504363977,0.007411474636622348,73.22165707173602,0.9453713537774602
q11,BF_minus_WM,5,0.01622207850474672,0.01301095314818201,-0.00927938966569002,0.041723546675183465,0.0005888395819858052,21.23938087681326,0.8116705932625963
q12,HI_minus_LI,4,0.07801749528766,0.02606481501543327,0.026930457857410786,0.12910453271790923,0.0019115045413883678,10.99298957175491,0.7270988041589598
q12,HP_minus_LP,4,0.20480602407293969,0.034785390716933595,0.13662665826774983,0.27298538987812954,0.0037313713427965987,13.575369274959591,0.7790115363172004
q12,BF_minus_WM,4,0.03144290836930586,0.019078029072924226,-0.005950028613625619,0.06883584535223734,0.001123332584622716,14.959877112870334,0.799463593359398
q13,HI_minus_LI,5,0.04157013337737269,0.010644883364185993,0.020706161983568144,0.06243410477117724,0.00010680076644744618,4.891683259629216,0.18228556762622541
q13,HP_minus_LP,5,0.08848574147200539,0.01252358762358375,0.06393950972978124,0.11303197321422953,0.0001053912403014909,4.611697263274426,0.1326403769271066
q13,BF_minus_WM,5,0.01703961967398456,0.013854750985173414,-0.010115692256955331,0.04419493160492445,0.0006741528265333063,15.540474421515311,0.7426076005464722
q14,HI_minus_LI,4,0.01573550427378906,0.017562284835174462,-0.01868657400315288,0.05015758255073101,0.0008871350587282799,10.88253782132935,0.7243290076952348
q14,HP_minus_LP,4,0.07230245041790498,0.009742563853055605,0.053207025265915996,0.09139787556989395,0.0,2.7109867685207485,0.0
q14,BF_minus_WM,4,0.00767591159237395,0.007349088762495005,-0.00672830238211626,0.02208012556686416,7.977684335131251e-05,4.584046569129118,0.3455563867515545
