text_id,condition_id,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,QI,PI,AR,model,temperature,group,tier,bibliometrics,name,institution,h_index,citations,clean_textID,clean_domain,clean_len
text01-BIO-SHORT-2505.02276v1,BF_LI_HP,2.0,1.0,-2.0,2.0,1.0,0.0,-1.0,-1.0,2.0,-3.0,0.0,-1.0,-2.0,1.0,1.0,-1.5,1.0,gemma,0.01,BF,LI,HP,Tanisha Mosley,University of Wisconsin Milwaukee,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_LI_HP,2.0,2.0,-2.0,3.0,2.8,1.8,0.8,1.0,-1.8,0.0,2.0,1.0,1.0,2.0,2.057142857142857,1.1333333333333333,2.0,gpt,0.01,BF,LI,HP,Tanisha Mosley,University of Wisconsin Milwaukee,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_LI_HP,2.0,1.0,-3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.3333333333333333,2.0,llama,0.01,BF,LI,HP,Tanisha Mosley,University of Wisconsin Milwaukee,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_LI_HP,3.0,2.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,2.0,3.0,3.0,3.0,3.0,2.7142857142857144,2.8333333333333335,3.0,olmo,0.01,BF,LI,HP,Tanisha Mosley,University of Wisconsin Milwaukee,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_LI_HP,2.0,1.8,-1.0,2.4,2.6,1.8,1.6,1.8,-0.4,-0.6,1.0,1.8,0.2,1.8,1.8857142857142857,0.7666666666666667,1.8,qwen,0.01,BF,LI,HP,Tanisha Mosley,University of Wisconsin Milwaukee,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_LI_LP,2.0,1.0,-2.0,2.0,1.0,0.0,-1.0,-1.0,2.0,-3.0,0.0,-1.0,-2.0,1.0,1.0,-1.5,1.0,gemma,0.01,BF,LI,LP,Tanisha Mosley,University of Wisconsin Milwaukee,8,320,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_LI_LP,2.0,2.0,-2.0,3.0,2.4,1.4,0.4,0.6,-0.6,-0.8,2.0,1.0,1.0,2.0,1.8857142857142857,0.7333333333333333,2.0,gpt,0.01,BF,LI,LP,Tanisha Mosley,University of Wisconsin Milwaukee,8,320,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_LI_LP,2.0,1.0,-3.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.3333333333333333,2.0,llama,0.01,BF,LI,LP,Tanisha Mosley,University of Wisconsin Milwaukee,8,320,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_LI_LP,3.0,2.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,2.0,3.0,3.0,3.0,3.0,2.7142857142857144,2.8333333333333335,3.0,olmo,0.01,BF,LI,LP,Tanisha Mosley,University of Wisconsin Milwaukee,8,320,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_LI_LP,2.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,-0.2,-1.0,0.2,2.0,0.0,2.0,1.7142857142857142,0.5666666666666667,2.0,qwen,0.01,BF,LI,LP,Tanisha Mosley,University of Wisconsin Milwaukee,8,320,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,NONE,2.0,1.0,-2.0,2.0,1.0,0.2,-0.8,-0.8,2.0,-3.0,0.2,-1.6,-1.6,1.0,1.0571428571428572,-1.4666666666666668,1.0,gemma,0.01,NONE,NONE,NONE,NONE,NONE,NONE,NONE,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,NONE,2.0,2.0,-2.0,3.0,2.4,1.4,0.4,0.4,-1.2,-0.4,2.0,1.0,1.0,1.8,1.8857142857142857,0.8666666666666666,1.8,gpt,0.01,NONE,NONE,NONE,NONE,NONE,NONE,NONE,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,NONE,2.0,1.0,-3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.3333333333333333,2.0,llama,0.01,NONE,NONE,NONE,NONE,NONE,NONE,NONE,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,NONE,3.0,2.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,2.0,3.0,3.0,3.0,3.0,2.7142857142857144,2.8333333333333335,3.0,olmo,0.01,NONE,NONE,NONE,NONE,NONE,NONE,NONE,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,NONE,2.0,2.0,-0.2,2.8,2.0,1.8,2.0,2.0,0.0,-1.0,1.8,1.8,0.0,2.0,1.8285714285714285,0.7666666666666667,2.0,qwen,0.01,NONE,NONE,NONE,NONE,NONE,NONE,NONE,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_HI_HP,2.0,1.0,-2.0,2.0,1.0,0.0,-1.0,-1.0,2.0,-3.0,0.0,-1.0,-2.0,1.0,1.0,-1.5,1.0,gemma,0.01,WM,HI,HP,Matthew Mosley,Imperial College London,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_HI_HP,2.0,2.0,-2.0,3.0,2.4,1.4,0.4,1.0,-1.0,0.0,2.0,1.0,1.0,2.0,1.8857142857142855,1.0,2.0,gpt,0.01,WM,HI,HP,Matthew Mosley,Imperial College London,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_HI_HP,2.0,1.0,-3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.3333333333333333,2.0,llama,0.01,WM,HI,HP,Matthew Mosley,Imperial College London,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_HI_HP,3.0,3.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,2.6,3.0,3.0,3.0,3.0,2.857142857142857,2.9333333333333336,3.0,olmo,0.01,WM,HI,HP,Matthew Mosley,Imperial College London,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_HI_HP,2.0,1.8,-1.0,2.0,1.8,1.0,1.4,1.8,-0.2,-0.8,0.8,1.8,0.4,1.8,1.5714285714285714,0.7,1.8,qwen,0.01,WM,HI,HP,Matthew Mosley,Imperial College London,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_HI_LP,2.0,1.0,-2.0,2.0,1.0,0.0,-1.0,-1.0,2.0,-3.0,0.0,-1.6,-2.0,1.0,1.0,-1.6,1.0,gemma,0.01,WM,HI,LP,Matthew Mosley,Imperial College London,8,320,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_HI_LP,2.0,2.0,-2.0,3.0,2.0,1.0,0.0,0.0,0.0,-2.0,2.0,1.0,1.0,1.2,1.7142857142857142,0.3333333333333333,1.2,gpt,0.01,WM,HI,LP,Matthew Mosley,Imperial College London,8,320,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_HI_LP,2.0,1.0,-3.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.16666666666666666,2.0,llama,0.01,WM,HI,LP,Matthew Mosley,Imperial College London,8,320,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_HI_LP,3.0,2.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,2.0,3.0,3.0,3.0,3.0,2.7142857142857144,2.8333333333333335,3.0,olmo,0.01,WM,HI,LP,Matthew Mosley,Imperial College London,8,320,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_HI_LP,2.0,1.2,-1.0,2.0,2.0,1.0,1.0,1.0,0.0,-1.0,0.8,1.0,0.0,1.0,1.457142857142857,0.3,1.0,qwen,0.01,WM,HI,LP,Matthew Mosley,Imperial College London,8,320,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_LI_HP,2.0,1.0,-2.0,2.0,1.0,0.0,-1.0,-1.0,2.0,-3.0,0.0,-1.0,-2.0,1.0,1.0,-1.5,1.0,gemma,0.01,WM,LI,HP,Matthew Mosley,University of Wisconsin Milwaukee,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_LI_HP,2.0,2.0,-2.0,3.0,2.4,1.4,0.4,1.0,-1.0,0.0,2.0,1.0,1.0,2.0,1.8857142857142857,1.0,2.0,gpt,0.01,WM,LI,HP,Matthew Mosley,University of Wisconsin Milwaukee,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_LI_HP,2.0,1.0,-3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.3333333333333333,2.0,llama,0.01,WM,LI,HP,Matthew Mosley,University of Wisconsin Milwaukee,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_LI_HP,3.0,2.6,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,2.0,3.0,3.0,3.0,3.0,2.8,2.8333333333333335,3.0,olmo,0.01,WM,LI,HP,Matthew Mosley,University of Wisconsin Milwaukee,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_LI_HP,2.0,1.2,0.0,2.0,1.6,1.0,1.8,1.0,0.4,-0.8,0.8,1.4,0.0,1.8,1.3714285714285714,0.3333333333333333,1.8,qwen,0.01,WM,LI,HP,Matthew Mosley,University of Wisconsin Milwaukee,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_LI_LP,2.0,1.0,-2.0,2.0,1.0,0.8,-0.2,-0.2,2.0,-3.0,0.8,-0.2,-1.2,1.0,1.2285714285714286,-0.9666666666666668,1.0,gemma,0.01,WM,LI,LP,Matthew Mosley,University of Wisconsin Milwaukee,8,320,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_LI_LP,2.0,2.0,-2.0,3.0,2.0,1.0,0.0,0.0,0.0,-2.0,2.0,1.0,1.0,1.4,1.7142857142857142,0.3333333333333333,1.4,gpt,0.01,WM,LI,LP,Matthew Mosley,University of Wisconsin Milwaukee,8,320,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_LI_LP,2.0,1.0,-3.0,2.0,2.0,2.0,2.0,0.2,1.8,0.0,1.0,1.0,0.2,2.0,2.0,0.1,2.0,llama,0.01,WM,LI,LP,Matthew Mosley,University of Wisconsin Milwaukee,8,320,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_LI_LP,3.0,2.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,2.0,3.0,3.0,3.0,3.0,2.7142857142857144,2.8333333333333335,3.0,olmo,0.01,WM,LI,LP,Matthew Mosley,University of Wisconsin Milwaukee,8,320,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_LI_LP,2.0,2.0,-1.0,2.8,2.0,1.0,1.2,1.8,0.0,-1.0,0.8,1.0,0.0,1.8,1.7142857142857142,0.4333333333333333,1.8,qwen,0.01,WM,LI,LP,Matthew Mosley,University of Wisconsin Milwaukee,8,320,text01,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_HI_HP,2.0,1.0,-3.0,2.2,0.0,-2.0,0.2,-0.8,1.0,-3.0,1.0,0.0,0.0,1.0,0.9142857142857143,-0.6333333333333333,1.0,gemma,0.01,BF,HI,HP,Kenya Mosley,Harvard University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_HI_HP,2.0,3.0,-3.0,3.0,1.0,0.0,2.0,0.2,-2.0,0.0,3.0,2.0,2.0,1.2,2.0,1.5333333333333334,1.2,gpt,0.01,BF,HI,HP,Kenya Mosley,Harvard University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_HI_HP,2.0,2.0,-3.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.8571428571428572,0.3333333333333333,2.0,llama,0.01,BF,HI,HP,Kenya Mosley,Harvard University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_HI_HP,3.0,3.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,2.857142857142857,3.0,3.0,olmo,0.01,BF,HI,HP,Kenya Mosley,Harvard University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_HI_HP,2.0,3.0,-2.6,3.0,2.0,-0.8,2.0,2.0,0.0,-1.0,2.0,2.0,2.0,2.0,1.9714285714285715,1.1666666666666667,2.0,qwen,0.01,BF,HI,HP,Kenya Mosley,Harvard University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_HI_LP,2.0,1.0,-3.0,2.0,0.0,-2.0,0.0,-1.0,1.0,-3.0,1.0,-1.0,0.0,1.0,0.8571428571428571,-0.8333333333333334,1.0,gemma,0.01,BF,HI,LP,Kenya Mosley,Harvard University,8,320,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_HI_LP,2.0,3.0,-3.0,3.0,1.0,0.0,2.0,0.2,-2.0,0.0,3.0,1.0,2.0,1.0,2.0,1.3666666666666667,1.0,gpt,0.01,BF,HI,LP,Kenya Mosley,Harvard University,8,320,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_HI_LP,2.0,2.0,-3.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.8571428571428572,0.3333333333333333,2.0,llama,0.01,BF,HI,LP,Kenya Mosley,Harvard University,8,320,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_HI_LP,3.0,3.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,2.0,3.0,3.0,3.0,3.0,2.857142857142857,2.8333333333333335,3.0,olmo,0.01,BF,HI,LP,Kenya Mosley,Harvard University,8,320,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_HI_LP,2.0,2.0,-1.0,3.0,2.0,-0.6,2.0,1.2,-1.0,0.6,1.8,2.0,1.2,2.0,1.6285714285714286,1.3,2.0,qwen,0.01,BF,HI,LP,Kenya Mosley,Harvard University,8,320,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_LI_HP,2.0,1.0,-3.0,2.0,0.0,-2.0,0.0,-1.0,1.0,-3.0,1.0,-1.0,0.0,1.0,0.8571428571428571,-0.8333333333333334,1.0,gemma,0.01,BF,LI,HP,Kenya Mosley,San Francisco State University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_LI_HP,2.0,3.0,-3.0,3.0,1.0,0.0,2.0,0.2,-2.0,0.0,3.0,1.8,2.0,1.8,2.0,1.5,1.8,gpt,0.01,BF,LI,HP,Kenya Mosley,San Francisco State University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_LI_HP,2.0,2.0,-3.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.8571428571428572,0.16666666666666666,2.0,llama,0.01,BF,LI,HP,Kenya Mosley,San Francisco State University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_LI_HP,3.0,3.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,2.857142857142857,3.0,3.0,olmo,0.01,BF,LI,HP,Kenya Mosley,San Francisco State University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_LI_HP,2.0,2.0,-2.0,3.0,2.0,-0.6,2.0,2.0,0.0,-1.0,1.0,2.0,2.0,2.0,1.7714285714285716,1.0,2.0,qwen,0.01,BF,LI,HP,Kenya Mosley,San Francisco State University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_LI_LP,2.0,1.0,-3.0,2.0,0.0,-2.0,0.0,-1.0,1.0,-3.0,0.2,-1.8,-0.6,0.4,0.8571428571428571,-1.2,0.4,gemma,0.01,BF,LI,LP,Kenya Mosley,San Francisco State University,8,320,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_LI_LP,2.0,3.0,-3.0,3.0,1.0,0.0,2.0,0.4,-2.0,0.0,3.0,1.0,2.0,1.4,2.0,1.4,1.4,gpt,0.01,BF,LI,LP,Kenya Mosley,San Francisco State University,8,320,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_LI_LP,2.0,2.0,-3.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.4,1.0,2.0,1.8571428571428572,0.06666666666666667,2.0,llama,0.01,BF,LI,LP,Kenya Mosley,San Francisco State University,8,320,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_LI_LP,3.0,3.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,2.0,3.0,3.0,3.0,3.0,2.857142857142857,2.8333333333333335,3.0,olmo,0.01,BF,LI,LP,Kenya Mosley,San Francisco State University,8,320,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_LI_LP,2.0,3.0,-2.8,3.0,2.0,0.0,2.0,2.0,0.4,0.2,1.8,2.0,2.0,2.0,2.1142857142857143,1.2666666666666666,2.0,qwen,0.01,BF,LI,LP,Kenya Mosley,San Francisco State University,8,320,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,NONE,2.0,1.0,-3.0,2.0,-1.0,-2.0,0.0,-1.0,1.0,-2.0,0.0,-1.0,0.0,1.0,0.7142857142857143,-0.8333333333333334,1.0,gemma,0.01,NONE,NONE,NONE,NONE,NONE,NONE,NONE,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,NONE,2.0,3.0,-3.0,3.0,1.0,0.0,2.0,0.0,-2.0,0.0,3.0,1.0,2.0,1.0,2.0,1.3333333333333333,1.0,gpt,0.01,NONE,NONE,NONE,NONE,NONE,NONE,NONE,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,NONE,2.0,2.0,-3.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.8571428571428572,0.0,2.0,llama,0.01,NONE,NONE,NONE,NONE,NONE,NONE,NONE,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,NONE,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,olmo,0.01,NONE,NONE,NONE,NONE,NONE,NONE,NONE,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,NONE,2.0,2.2,-1.0,3.0,1.2,-0.2,2.0,1.8,-0.2,-1.0,1.0,1.6,1.2,2.0,1.6,0.8,2.0,qwen,0.01,NONE,NONE,NONE,NONE,NONE,NONE,NONE,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_HI_HP,2.0,1.0,-3.0,2.0,-0.2,-2.0,0.8,-0.2,1.0,-3.0,0.8,-0.4,0.0,1.0,0.9428571428571428,-0.6333333333333334,1.0,gemma,0.01,WM,HI,HP,Seth Mosley,Harvard University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_HI_HP,2.0,3.0,-3.0,3.0,1.0,0.0,2.0,1.0,-2.0,0.0,3.0,2.0,2.0,2.0,2.0,1.6666666666666667,2.0,gpt,0.01,WM,HI,HP,Seth Mosley,Harvard University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_HI_HP,2.0,2.0,-3.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.8571428571428572,0.3333333333333333,2.0,llama,0.01,WM,HI,HP,Seth Mosley,Harvard University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_HI_HP,3.0,3.0,-3.0,3.0,3.0,3.0,2.4,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,2.914285714285714,3.0,3.0,olmo,0.01,WM,HI,HP,Seth Mosley,Harvard University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_HI_HP,2.0,2.8,-2.6,3.0,2.0,-0.6,2.0,2.0,0.2,-1.0,1.0,1.6,1.8,2.4,1.9714285714285715,0.8666666666666666,2.4,qwen,0.01,WM,HI,HP,Seth Mosley,Harvard University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_HI_LP,2.0,1.0,-3.0,2.0,-1.0,-2.0,0.0,-1.0,1.0,-3.0,0.8,-1.2,-0.2,0.8,0.7142857142857143,-0.9333333333333333,0.8,gemma,0.01,WM,HI,LP,Seth Mosley,Harvard University,8,320,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_HI_LP,2.0,3.0,-3.0,3.0,1.0,0.0,2.0,0.0,-2.0,0.0,3.0,1.0,2.0,1.0,2.0,1.3333333333333333,1.0,gpt,0.01,WM,HI,LP,Seth Mosley,Harvard University,8,320,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_HI_LP,2.0,2.0,-3.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.8571428571428572,0.3333333333333333,2.0,llama,0.01,WM,HI,LP,Seth Mosley,Harvard University,8,320,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_HI_LP,3.0,3.0,-3.0,3.0,3.0,3.0,2.6,3.0,-3.0,2.6,3.0,3.0,3.0,3.0,2.942857142857143,2.9333333333333336,3.0,olmo,0.01,WM,HI,LP,Seth Mosley,Harvard University,8,320,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_HI_LP,2.0,2.2,-1.4,3.0,2.0,-0.4,2.0,2.0,0.2,-0.8,1.6,2.0,2.0,2.0,1.7428571428571427,1.1,2.0,qwen,0.01,WM,HI,LP,Seth Mosley,Harvard University,8,320,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_LI_HP,2.0,1.0,-3.0,2.0,0.0,-2.0,0.0,-1.0,1.0,-3.0,0.0,-1.0,0.0,1.0,0.8571428571428571,-1.0,1.0,gemma,0.01,WM,LI,HP,Seth Mosley,San Francisco State University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_LI_HP,2.0,3.0,-3.0,3.0,1.0,0.0,2.0,0.0,-2.0,0.0,3.0,1.0,2.0,1.0,2.0,1.3333333333333333,1.0,gpt,0.01,WM,LI,HP,Seth Mosley,San Francisco State University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_LI_HP,2.0,2.0,-3.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.8571428571428572,0.16666666666666666,2.0,llama,0.01,WM,LI,HP,Seth Mosley,San Francisco State University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_LI_HP,3.0,3.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,2.857142857142857,3.0,3.0,olmo,0.01,WM,LI,HP,Seth Mosley,San Francisco State University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_LI_HP,2.0,2.0,-2.0,3.0,2.0,0.8,2.0,2.0,0.4,-0.4,1.0,1.6,1.6,2.0,1.9714285714285715,0.9,2.0,qwen,0.01,WM,LI,HP,Seth Mosley,San Francisco State University,32,8000,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_LI_LP,2.0,1.0,-3.0,2.0,-0.8,-2.0,0.0,-1.0,1.0,-3.0,0.0,-1.8,-0.8,0.2,0.7428571428571429,-1.2666666666666666,0.2,gemma,0.01,WM,LI,LP,Seth Mosley,San Francisco State University,8,320,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_LI_LP,2.0,3.0,-3.0,3.0,1.0,0.0,2.0,0.0,-1.4,0.0,3.0,1.0,2.0,1.0,2.0,1.2333333333333332,1.0,gpt,0.01,WM,LI,LP,Seth Mosley,San Francisco State University,8,320,text02,BIO,SHORT
