text_id,delta_rank_group_QI,delta_rank_inst_QI,delta_rank_biblio_QI,delta_rank_group_PI,delta_rank_inst_PI,delta_rank_biblio_PI,delta_rank_group_AR,delta_rank_inst_AR,delta_rank_biblio_AR
text55-CS-LONG-2602.21625v1,-1.5,5.0,-3.0,-2.5,-4.5,-2.5,-0.75,-1.0,-0.25
text56-CS-LONG-2602.13713v1,-0.5,-2.0,-5.5,-1.25,-8.5,-4.0,0.0,-3.0,0.25
text57-CS-LONG-2603.00079v1,-0.25,-0.25,-1.5,-2.75,1.25,-0.5,-0.5,0.0,-1.0
text58-CS-LONG-2603.01023v1,-1.25,2.0,-3.5,-0.25,2.25,-4.0,1.0,1.5,1.25
text59-CS-LONG-2602.19401v1,4.5,6.0,2.75,-2.75,-3.0,-9.75,2.75,3.0,-1.0
text60-CS-LONG-2602.18518v1,-1.0,0.75,1.0,-0.75,-5.0,-1.75,0.0,0.0,0.0
text61-PHY-LONG-2602.03885v1,0.0,-0.25,-1.5,6.25,-9.0,-12.5,0.0,0.0,0.0
text62-PHY-LONG-2511.21971v1,-2.0,-6.0,-2.0,-2.25,-12.75,-15.5,2.0,-0.5,-5.75
text63-PHY-LONG-2512.18015v1,0.0,0.75,-0.75,-2.75,-1.5,-10.25,-8.5,-10.75,-24.5
text64-PHY-LONG-2602.23683v1,1.5,0.0,-2.5,-2.0,-6.25,-14.25,0.0,-2.75,-4.0
text65-PHY-LONG-2601.13267v1,-5.0,-17.75,-10.25,-2.25,-20.25,-9.75,-5.75,1.25,-5.5
text66-PHY-LONG-2512.24566v1,6.5,-1.75,-6.0,1.0,-1.5,-1.75,0.0,0.0,0.0
text67-PHY-LONG-2602.07636v2,-3.5,2.75,1.25,-6.0,-3.5,1.5,-1.0,-0.25,0.0
text68-PHY-LONG-2512.18130v1,3.5,6.0,-10.25,0.25,-15.0,-23.25,1.75,0.0,-7.0
text69-PHY-LONG-2602.17389v1,5.75,1.75,-3.75,-5.0,0.25,-7.75,-0.5,4.0,-1.75
text70-PHY-LONG-2602.08188v1,-0.25,-0.25,-0.5,0.0,-0.25,-0.25,1.75,0.0,-0.5
text71-MATH-LONG-2511.12781v1,0.75,0.0,-0.75,-0.5,-4.75,-5.25,-2.0,12.0,-3.25
text72-MATH-LONG-2602.06095v1,-1.25,0.25,-0.25,0.5,-0.25,-1.5,-0.75,0.5,0.0
text73-MATH-LONG-2511.18101v1,2.75,-2.5,-1.75,0.25,1.0,-2.25,5.75,3.0,-3.25
text74-MATH-LONG-2512.15978v1,-3.25,-6.0,-3.5,-1.75,-11.25,-1.75,-1.25,-1.5,-1.5
text75-MATH-LONG-2511.22140v1,0.5,-4.0,-1.0,-4.0,-3.25,-2.75,-0.5,-1.75,-1.25
text76-MATH-LONG-2602.20441v1,4.5,-1.5,-2.75,-1.25,-5.0,-7.25,0.25,-0.25,-0.25
text77-MATH-LONG-2601.20851v2,7.5,-2.25,-0.25,7.5,-2.0,-9.25,5.5,-2.0,-1.0
text78-MATH-LONG-2512.17595v1,0.0,-2.75,-3.75,1.25,-0.25,-8.0,-0.75,-0.5,0.5
text79-MATH-LONG-2512.10129v1,-0.25,-2.75,3.25,-1.25,0.25,-4.5,-2.25,-1.75,-1.5
text80-MATH-LONG-2512.10507v1,-12.25,-4.5,-8.5,-2.0,-8.0,-7.25,1.5,1.5,0.0
