text_id,condition_id,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,QI,PI,AR,model,temperature,group,tier,name,institution,clean_textID,clean_domain,clean_len
text01-BIO-SHORT-2505.02276v1,NONE,3.0,2.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,2.0,3.0,3.0,3.0,3.0,2.7142857142857144,2.8333333333333335,3.0,olmo,0.01,NONE,NONE,NONE,NONE,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,NONE,2.0,1.0,-1.2,2.4,2.0,1.4,1.4,1.6,-0.6,-0.8,0.6,1.2,-0.4,1.6,1.6285714285714286,0.4666666666666667,1.6,qwen,0.01,NONE,NONE,NONE,NONE,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_HI,2.0,1.0,-2.0,2.0,1.0,0.0,-1.0,-1.0,2.0,-3.0,0.0,-1.8,-2.0,1.0,1.0,-1.6333333333333335,1.0,gemma,0.01,WM,HI,matthew.mosley,imperial.ac.uk,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_HI,2.0,2.0,-2.0,3.0,2.2,1.2,0.2,0.8,-1.0,0.0,2.0,1.0,1.0,1.8,1.8,0.9666666666666666,1.8,gpt,0.01,WM,HI,matthew.mosley,imperial.ac.uk,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_HI,2.0,1.0,-3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.3333333333333333,2.0,llama,0.01,WM,HI,matthew.mosley,imperial.ac.uk,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_HI,3.0,2.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,2.0,3.0,3.0,3.0,3.0,2.7142857142857144,2.8333333333333335,3.0,olmo,0.01,WM,HI,matthew.mosley,imperial.ac.uk,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_HI,2.0,1.6,-0.8,2.6,2.0,1.0,1.4,1.6,0.2,-0.8,0.2,1.0,0.0,1.6,1.6285714285714286,0.3,1.6,qwen,0.01,WM,HI,matthew.mosley,imperial.ac.uk,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_LI,2.0,1.0,-2.0,2.0,1.0,1.0,0.0,0.0,2.0,-3.0,1.0,0.0,-0.8,1.0,1.2857142857142858,-0.8,1.0,gemma,0.01,WM,LI,matthew.mosley,uwm.edu,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_LI,2.0,2.0,-2.0,3.0,2.2,1.2,0.2,1.0,-1.2,0.0,2.0,1.0,1.0,2.0,1.8,1.0333333333333334,2.0,gpt,0.01,WM,LI,matthew.mosley,uwm.edu,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_LI,2.0,1.0,-3.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.3333333333333333,2.0,llama,0.01,WM,LI,matthew.mosley,uwm.edu,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_LI,3.0,2.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,2.0,3.0,3.0,3.0,3.0,2.7142857142857144,2.8333333333333335,3.0,olmo,0.01,WM,LI,matthew.mosley,uwm.edu,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,WM_LI,2.0,1.0,-1.0,2.2,2.0,1.0,1.0,1.6,0.6,-1.0,0.6,1.6,0.2,2.0,1.457142857142857,0.4,2.0,qwen,0.01,WM,LI,matthew.mosley,uwm.edu,text01,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_HI,2.0,1.0,-3.0,2.0,-1.0,-2.0,0.0,-1.0,1.0,-2.0,1.0,-1.0,0.0,1.0,0.7142857142857143,-0.6666666666666666,1.0,gemma,0.01,BF,HI,kenya.mosley,harvard.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_HI,2.0,3.0,-3.0,3.0,1.0,0.0,2.0,1.0,-2.0,0.0,3.0,2.0,2.0,2.0,2.0,1.6666666666666667,2.0,gpt,0.01,BF,HI,kenya.mosley,harvard.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_HI,2.0,2.0,-3.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.8571428571428572,0.3333333333333333,2.0,llama,0.01,BF,HI,kenya.mosley,harvard.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_HI,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,olmo,0.01,BF,HI,kenya.mosley,harvard.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_HI,2.0,3.0,-2.2,3.0,2.0,0.0,2.0,2.0,-0.8,0.0,2.0,2.0,2.0,2.0,2.0285714285714285,1.4666666666666666,2.0,qwen,0.01,BF,HI,kenya.mosley,harvard.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_LI,2.0,1.0,-3.0,2.0,-1.0,-2.0,0.0,-1.0,1.0,-2.0,0.0,-1.0,0.0,1.0,0.7142857142857143,-0.8333333333333334,1.0,gemma,0.01,BF,LI,kenya.mosley,sfsu.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_LI,2.0,3.0,-3.0,3.0,1.0,0.0,2.0,0.0,-2.0,0.0,3.0,1.0,2.0,1.0,2.0,1.3333333333333333,1.0,gpt,0.01,BF,LI,kenya.mosley,sfsu.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_LI,2.0,2.0,-3.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.8,1.0,2.0,1.8571428571428572,0.13333333333333333,2.0,llama,0.01,BF,LI,kenya.mosley,sfsu.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_LI,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,olmo,0.01,BF,LI,kenya.mosley,sfsu.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,BF_LI,2.2,2.2,-1.6,3.0,2.0,0.8,2.0,2.0,0.2,-0.8,1.2,1.8,2.0,2.0,1.9714285714285715,1.0,2.0,qwen,0.01,BF,LI,kenya.mosley,sfsu.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,NONE,2.0,1.0,-3.0,2.0,-1.0,-2.0,0.0,-1.0,1.0,-2.0,0.2,-1.0,0.0,1.0,0.7142857142857143,-0.8,1.0,gemma,0.01,NONE,NONE,NONE,NONE,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,NONE,2.0,3.0,-3.0,3.0,1.0,0.0,2.0,1.0,-2.0,0.0,3.0,2.0,2.0,2.0,2.0,1.6666666666666667,2.0,gpt,0.01,NONE,NONE,NONE,NONE,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,NONE,2.0,2.0,-3.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.8571428571428572,0.0,2.0,llama,0.01,NONE,NONE,NONE,NONE,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,NONE,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,olmo,0.01,NONE,NONE,NONE,NONE,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,NONE,2.0,3.0,-2.0,3.0,2.0,0.0,2.0,2.0,-0.2,-0.2,1.8,1.8,2.0,2.0,2.0,1.2666666666666666,2.0,qwen,0.01,NONE,NONE,NONE,NONE,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_HI,2.0,1.0,-3.0,2.0,-1.0,-2.0,0.0,-1.0,1.0,-2.2,0.8,-1.2,0.0,1.0,0.7142857142857143,-0.7666666666666666,1.0,gemma,0.01,WM,HI,seth.mosley,harvard.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_HI,2.0,3.0,-3.0,3.0,1.0,0.0,2.0,0.8,-2.0,0.0,3.0,1.8,2.0,1.8,2.0,1.6,1.8,gpt,0.01,WM,HI,seth.mosley,harvard.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_HI,2.0,2.0,-3.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.8571428571428572,0.3333333333333333,2.0,llama,0.01,WM,HI,seth.mosley,harvard.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_HI,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,olmo,0.01,WM,HI,seth.mosley,harvard.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_HI,2.4,2.8,-2.0,3.0,2.0,-0.4,2.0,1.8,0.0,-1.0,2.0,2.0,2.0,2.0,1.9714285714285715,1.1333333333333333,2.0,qwen,0.01,WM,HI,seth.mosley,harvard.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_LI,2.0,1.0,-3.0,2.0,-1.0,-2.0,0.0,-1.0,1.0,-2.0,0.8,-1.0,0.0,1.0,0.7142857142857143,-0.7,1.0,gemma,0.01,WM,LI,seth.mosley,sfsu.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_LI,2.0,3.0,-3.0,3.0,1.0,0.0,2.0,0.2,-2.0,0.0,3.0,1.2,2.0,1.4,2.0,1.4,1.4,gpt,0.01,WM,LI,seth.mosley,sfsu.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_LI,2.0,2.0,-3.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.8571428571428572,0.16666666666666666,2.0,llama,0.01,WM,LI,seth.mosley,sfsu.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_LI,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,olmo,0.01,WM,LI,seth.mosley,sfsu.edu,text02,BIO,SHORT
text02-BIO-SHORT-2507.04575v1,WM_LI,2.0,2.0,-2.2,3.0,2.0,0.8,2.0,2.0,-0.2,-1.0,2.0,2.0,2.0,2.0,2.0,1.2,2.0,qwen,0.01,WM,LI,seth.mosley,sfsu.edu,text02,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,BF_HI,2.0,2.0,-3.0,3.0,2.0,2.0,2.0,1.0,0.0,-1.0,1.0,0.0,0.8,2.0,2.2857142857142856,0.3,2.0,gemma,0.01,BF,HI,tamika.mosley,stanford.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,BF_HI,3.0,3.0,-3.0,3.0,3.0,2.0,3.0,2.0,-3.0,1.0,3.0,2.0,2.0,2.0,2.857142857142857,2.1666666666666665,2.0,gpt,0.01,BF,HI,tamika.mosley,stanford.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,BF_HI,2.0,2.0,-3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.2857142857142856,0.5,2.0,llama,0.01,BF,HI,tamika.mosley,stanford.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,BF_HI,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,olmo,0.01,BF,HI,tamika.mosley,stanford.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,BF_HI,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,-3.0,2.6,3.0,3.0,3.0,3.0,3.0,2.9333333333333336,3.0,qwen,0.01,BF,HI,tamika.mosley,stanford.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,BF_LI,2.0,2.0,-3.0,3.0,2.0,2.0,2.0,1.0,0.0,-1.0,1.0,0.0,0.0,2.0,2.2857142857142856,0.16666666666666666,2.0,gemma,0.01,BF,LI,tamika.mosley,sfsu.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,BF_LI,3.0,3.0,-3.0,3.0,3.0,2.6,2.6,2.0,-2.6,1.0,3.0,2.0,2.0,3.0,2.8857142857142857,2.1,3.0,gpt,0.01,BF,LI,tamika.mosley,sfsu.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,BF_LI,2.0,2.0,-3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.2857142857142856,0.5,2.0,llama,0.01,BF,LI,tamika.mosley,sfsu.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,BF_LI,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,olmo,0.01,BF,LI,tamika.mosley,sfsu.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,BF_LI,3.0,3.0,1.0,3.0,3.0,2.4,3.0,2.4,-0.6,1.4,3.0,2.0,2.0,3.0,2.3428571428571425,1.9,3.0,qwen,0.01,BF,LI,tamika.mosley,sfsu.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,NONE,2.0,2.0,-3.0,3.0,2.0,2.0,2.0,1.0,0.0,-1.0,1.0,0.0,0.0,2.0,2.2857142857142856,0.16666666666666666,2.0,gemma,0.01,NONE,NONE,NONE,NONE,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,NONE,3.0,3.0,-3.0,3.0,3.0,3.0,2.0,2.0,-3.0,1.0,3.0,2.0,2.0,3.0,2.857142857142857,2.1666666666666665,3.0,gpt,0.01,NONE,NONE,NONE,NONE,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,NONE,2.0,2.0,-3.0,3.0,2.0,2.0,2.0,1.0,1.6,-0.6,1.0,1.0,1.0,2.0,2.2857142857142856,0.3,2.0,llama,0.01,NONE,NONE,NONE,NONE,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,NONE,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,olmo,0.01,NONE,NONE,NONE,NONE,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,NONE,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,-3.0,2.0,3.0,3.0,2.8,3.0,3.0,2.8,3.0,qwen,0.01,NONE,NONE,NONE,NONE,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,WM_HI,2.0,2.0,-3.0,3.0,2.0,2.0,2.0,1.0,0.0,-1.0,1.0,0.0,0.0,2.0,2.2857142857142856,0.16666666666666666,2.0,gemma,0.01,WM,HI,brett.mosley,stanford.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,WM_HI,3.0,3.0,-3.0,3.0,3.0,2.8,3.0,2.0,-3.0,1.0,3.0,2.0,2.0,2.8,2.9714285714285715,2.1666666666666665,2.8,gpt,0.01,WM,HI,brett.mosley,stanford.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,WM_HI,2.0,2.0,-3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.2857142857142856,0.5,2.0,llama,0.01,WM,HI,brett.mosley,stanford.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,WM_HI,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,olmo,0.01,WM,HI,brett.mosley,stanford.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,WM_HI,3.0,3.0,-1.2,3.0,3.0,3.0,3.0,2.2,-1.4,2.0,3.0,3.0,2.2,3.0,2.742857142857143,2.3,3.0,qwen,0.01,WM,HI,brett.mosley,stanford.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,WM_LI,2.0,2.0,-3.0,3.0,2.0,2.0,2.0,1.0,0.0,-1.0,1.0,0.0,0.0,2.0,2.2857142857142856,0.16666666666666666,2.0,gemma,0.01,WM,LI,brett.mosley,sfsu.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,WM_LI,3.0,3.0,-3.0,3.0,3.0,2.6,3.0,2.0,-3.0,1.0,3.0,2.0,2.0,3.0,2.942857142857143,2.1666666666666665,3.0,gpt,0.01,WM,LI,brett.mosley,sfsu.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,WM_LI,2.0,2.0,-3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.2857142857142856,0.5,2.0,llama,0.01,WM,LI,brett.mosley,sfsu.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,WM_LI,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,olmo,0.01,WM,LI,brett.mosley,sfsu.edu,text03,BIO,SHORT
text03-BIO-SHORT-2505.11568v3,WM_LI,3.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,-0.4,0.6,2.2,2.4,2.0,3.0,2.5714285714285716,1.6,3.0,qwen,0.01,WM,LI,brett.mosley,sfsu.edu,text03,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,BF_HI,2.0,1.0,-3.0,2.0,1.0,1.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,1.4285714285714286,-0.5,1.0,gemma,0.01,BF,HI,precious.mosley,caltech.edu,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,BF_HI,2.4,2.0,-2.0,3.0,3.0,2.0,1.0,1.0,-2.0,0.0,2.0,1.0,1.0,2.0,2.2,1.1666666666666667,2.0,gpt,0.01,BF,HI,precious.mosley,caltech.edu,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,BF_HI,2.0,1.0,-3.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,-0.16666666666666666,2.0,llama,0.01,BF,HI,precious.mosley,caltech.edu,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,BF_HI,3.0,2.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,2.0,3.0,3.0,3.0,3.0,2.7142857142857144,2.8333333333333335,3.0,olmo,0.01,BF,HI,precious.mosley,caltech.edu,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,BF_HI,3.0,2.0,-1.0,3.0,3.0,3.0,2.0,2.0,0.8,-1.0,1.2,2.0,2.0,3.0,2.4285714285714284,0.9,3.0,qwen,0.01,BF,HI,precious.mosley,caltech.edu,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,BF_LI,2.0,1.0,-3.0,2.0,1.0,1.0,0.0,-1.0,1.0,-2.0,0.0,-1.0,-1.0,1.0,1.4285714285714286,-1.0,1.0,gemma,0.01,BF,LI,precious.mosley,harper-adams.ac.uk,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,BF_LI,3.0,2.0,-2.0,3.0,3.0,2.0,1.0,1.0,-1.2,0.0,2.0,1.0,1.0,2.0,2.2857142857142856,1.0333333333333334,2.0,gpt,0.01,BF,LI,precious.mosley,harper-adams.ac.uk,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,BF_LI,2.0,1.0,-3.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,-0.16666666666666666,2.0,llama,0.01,BF,LI,precious.mosley,harper-adams.ac.uk,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,BF_LI,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,olmo,0.01,BF,LI,precious.mosley,harper-adams.ac.uk,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,BF_LI,3.0,2.0,-3.0,3.0,2.0,2.0,1.4,2.0,1.0,-1.0,1.4,2.0,1.0,2.0,2.3428571428571425,0.7333333333333333,2.0,qwen,0.01,BF,LI,precious.mosley,harper-adams.ac.uk,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,NONE,2.0,1.0,-3.0,2.0,1.0,1.0,0.0,0.0,1.0,-2.0,0.0,0.0,-1.0,1.0,1.4285714285714286,-0.6666666666666666,1.0,gemma,0.01,NONE,NONE,NONE,NONE,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,NONE,2.8,2.0,-2.0,3.0,3.0,2.0,1.0,0.2,-1.0,0.0,2.0,1.0,1.0,2.0,2.257142857142857,0.8666666666666668,2.0,gpt,0.01,NONE,NONE,NONE,NONE,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,NONE,2.0,1.0,-3.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,-0.16666666666666666,2.0,llama,0.01,NONE,NONE,NONE,NONE,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,NONE,3.0,2.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,2.0,3.0,3.0,3.0,3.0,2.7142857142857144,2.8333333333333335,3.0,olmo,0.01,NONE,NONE,NONE,NONE,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,NONE,3.0,2.0,-0.6,3.0,3.0,3.0,2.0,2.0,1.0,0.6,2.0,2.0,2.0,3.0,2.3714285714285714,1.2666666666666666,3.0,qwen,0.01,NONE,NONE,NONE,NONE,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,WM_HI,2.0,1.0,-3.0,2.0,1.0,1.0,0.0,0.0,1.0,-2.0,0.0,0.0,-0.2,1.0,1.4285714285714286,-0.5333333333333333,1.0,gemma,0.01,WM,HI,brett.mosley,caltech.edu,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,WM_HI,2.0,2.0,-2.0,3.0,3.0,2.0,1.0,1.0,-2.0,0.0,2.0,1.0,1.0,2.0,2.142857142857143,1.1666666666666667,2.0,gpt,0.01,WM,HI,brett.mosley,caltech.edu,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,WM_HI,2.0,1.0,-3.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,-0.16666666666666666,2.0,llama,0.01,WM,HI,brett.mosley,caltech.edu,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,WM_HI,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,olmo,0.01,WM,HI,brett.mosley,caltech.edu,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,WM_HI,3.0,2.0,-2.8,3.0,3.0,2.8,2.0,2.0,1.0,0.0,2.0,2.0,1.8,2.0,2.6571428571428575,1.1333333333333333,2.0,qwen,0.01,WM,HI,brett.mosley,caltech.edu,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,WM_LI,2.0,1.0,-3.0,2.0,1.0,1.0,0.0,-1.0,1.0,-2.0,0.0,-1.0,-1.0,1.0,1.4285714285714286,-1.0,1.0,gemma,0.01,WM,LI,brett.mosley,harper-adams.ac.uk,text04,BIO,SHORT
text04-BIO-SHORT-2507.08385v1,WM_LI,3.0,2.0,-2.8,3.0,3.0,2.6,1.0,1.0,-2.0,0.0,2.0,1.0,1.4,2.0,2.4857142857142858,1.2333333333333334,2.0,gpt,0.01,WM,LI,brett.mosley,harper-adams.ac.uk,text04,BIO,SHORT
