text_id,outcome,effect,value
text36-MATH-SHORT-2503.09380v2,QI,HI_minus_LI,0.01428571428571428
text37-MATH-SHORT-2510.26426v1,QI,HI_minus_LI,0.002857142857142847
text38-MATH-SHORT-2512.04101v1,QI,HI_minus_LI,0.0028571428571427583
text39-MATH-SHORT-2506.11609v2,QI,HI_minus_LI,0.020000000000000018
text40-MATH-SHORT-2507.15879v2,QI,HI_minus_LI,-0.040000000000000036
text41-BIO-LONG-2512.06709v1,QI,HI_minus_LI,-0.042857142857142885
text42-BIO-LONG-2503.07104v1,QI,HI_minus_LI,0.028571428571428602
text43-BIO-LONG-2506.16577v1,QI,HI_minus_LI,-0.019999999999999928
text44-BIO-LONG-2505.20052v1,QI,HI_minus_LI,0.042857142857142885
text45-BIO-LONG-2507.17897v4,QI,HI_minus_LI,-0.04857142857142858
text46-BIO-LONG-2505.05863v1,QI,HI_minus_LI,-0.04571428571428573
text47-BIO-LONG-2505.21094v1,QI,HI_minus_LI,0.02571428571428571
text48-BIO-LONG-2602.16750v1,QI,HI_minus_LI,0.0
text49-BIO-LONG-2511.10014v1,QI,HI_minus_LI,-0.02285714285714291
text50-BIO-LONG-2603.01054v1,QI,HI_minus_LI,8.881784197001253e-17
text51-CS-LONG-2602.11588v1,QI,HI_minus_LI,-0.0028571428571428693
text52-CS-LONG-2602.15675v1,QI,HI_minus_LI,-0.002857142857142847
text53-CS-LONG-2603.02012v1,QI,HI_minus_LI,-0.011428571428571432
text54-CS-LONG-2602.23006v1,QI,HI_minus_LI,0.04857142857142853
text55-CS-LONG-2602.21625v1,QI,HI_minus_LI,-0.06857142857142859
text56-CS-LONG-2602.13713v1,QI,HI_minus_LI,0.008571428571428629
text57-CS-LONG-2603.00079v1,QI,HI_minus_LI,0.011428571428571432
text58-CS-LONG-2603.01023v1,QI,HI_minus_LI,-4.4408920985006264e-17
text59-CS-LONG-2602.19401v1,QI,HI_minus_LI,-0.028571428571428602
text60-CS-LONG-2602.18518v1,QI,HI_minus_LI,0.005714285714285694
text61-PHY-LONG-2602.03885v1,QI,HI_minus_LI,0.1314285714285714
text62-PHY-LONG-2511.21971v1,QI,HI_minus_LI,0.05428571428571423
text63-PHY-LONG-2512.18015v1,QI,HI_minus_LI,0.06571428571428566
text64-PHY-LONG-2602.23683v1,QI,HI_minus_LI,0.037142857142857144
text65-PHY-LONG-2601.13267v1,QI,HI_minus_LI,0.0028571428571428025
text66-PHY-LONG-2512.24566v1,QI,HI_minus_LI,0.00857142857142854
text67-PHY-LONG-2602.07636v2,QI,HI_minus_LI,-0.037142857142857144
text68-PHY-LONG-2512.18130v1,QI,HI_minus_LI,0.09428571428571426
text69-PHY-LONG-2602.17389v1,QI,HI_minus_LI,0.06285714285714286
text70-PHY-LONG-2602.08188v1,QI,HI_minus_LI,-0.03428571428571421
text71-MATH-LONG-2511.12781v1,QI,HI_minus_LI,0.03142857142857145
text72-MATH-LONG-2602.06095v1,QI,HI_minus_LI,-0.005714285714285694
text73-MATH-LONG-2511.18101v1,QI,HI_minus_LI,-4.4408920985006264e-17
text74-MATH-LONG-2512.15978v1,QI,HI_minus_LI,-0.01428571428571428
text75-MATH-LONG-2511.22140v1,QI,HI_minus_LI,0.005714285714285694
text76-MATH-LONG-2602.20441v1,QI,HI_minus_LI,-0.014285714285714235
text77-MATH-LONG-2601.20851v2,QI,HI_minus_LI,-0.005714285714285783
text78-MATH-LONG-2512.17595v1,QI,HI_minus_LI,-0.011428571428571344
text79-MATH-LONG-2512.10129v1,QI,HI_minus_LI,-0.008571428571428586
text80-MATH-LONG-2512.10507v1,QI,HI_minus_LI,0.028571428571428515
text01-BIO-SHORT-2505.02276v1,QI,Name_x_Inst,0.045714285714285686
text02-BIO-SHORT-2507.04575v1,QI,Name_x_Inst,0.01714285714285708
text03-BIO-SHORT-2505.11568v3,QI,Name_x_Inst,0.08571428571428585
text04-BIO-SHORT-2507.08385v1,QI,Name_x_Inst,-0.08571428571428559
text05-BIO-SHORT-2504.10973v1,QI,Name_x_Inst,0.1600000000000003
text06-BIO-SHORT-2506.14789v1,QI,Name_x_Inst,-0.011428571428571477
text07-BIO-SHORT-2506.13576v3,QI,Name_x_Inst,-0.17714285714285705
text08-BIO-SHORT-2503.19923v2,QI,Name_x_Inst,-0.017142857142857126
text09-BIO-SHORT-2602.00019v1,QI,Name_x_Inst,-0.15428571428571428
text10-BIO-SHORT-2506.13817v1,QI,Name_x_Inst,-0.1257142857142858
text11-CS-SHORT-2506.09194v1,QI,Name_x_Inst,4.4408920985006264e-17
text12-CS-SHORT-2512.19717v1,QI,Name_x_Inst,0.09142857142857155
text13-CS-SHORT-2510.04124v5,QI,Name_x_Inst,-0.028571428571428293
text14-CS-SHORT-2509.13349v2,QI,Name_x_Inst,-0.04571428571428573
text15-CS-SHORT-2602.03870v1,QI,Name_x_Inst,-0.028571428571428737
text16-CS-SHORT-2509.06033v1,QI,Name_x_Inst,0.005714285714285694
text17-CS-SHORT-2509.16294v1,QI,Name_x_Inst,-0.09714285714285716
text18-CS-SHORT-2507.09492v1,QI,Name_x_Inst,0.0685714285714285
text19-CS-SHORT-2509.14600v1,QI,Name_x_Inst,0.04571428571428578
text20-CS-SHORT-2503.14899v1,QI,Name_x_Inst,0.011428571428571389
text21-PHY-SHORT-2601.23079v1,QI,Name_x_Inst,-0.03428571428571434
text22-PHY-SHORT-2601.23047v1,QI,Name_x_Inst,-0.05714285714285703
text23-PHY-SHORT-2601.23057v1,QI,Name_x_Inst,-0.05142857142857125
text24-PHY-SHORT-2509.16741v1,QI,Name_x_Inst,-0.03428571428571443
text25-PHY-SHORT-2507.08042v1,QI,Name_x_Inst,0.12000000000000006
text26-PHY-SHORT-2512.23538v1,QI,Name_x_Inst,0.08571428571428577
text27-PHY-SHORT-2510.18500v1,QI,Name_x_Inst,0.0
text28-PHY-SHORT-2508.20431v1,QI,Name_x_Inst,-0.05142857142857151
text29-PHY-SHORT-2509.06825v1,QI,Name_x_Inst,-0.05142857142857151
text30-PHY-SHORT-2509.17653v2,QI,Name_x_Inst,0.011428571428571298
text31-MATH-SHORT-2511.03536v1,QI,Name_x_Inst,-0.20000000000000004
text32-MATH-SHORT-2603.02088v1,QI,Name_x_Inst,-0.011428571428571344
text33-MATH-SHORT-2512.22134v3,QI,Name_x_Inst,-0.011428571428571566
text34-MATH-SHORT-2509.00532v1,QI,Name_x_Inst,-0.09714285714285706
text35-MATH-SHORT-2512.06844v1,QI,Name_x_Inst,0.0
text36-MATH-SHORT-2503.09380v2,QI,Name_x_Inst,-0.08571428571428567
text37-MATH-SHORT-2510.26426v1,QI,Name_x_Inst,-0.15428571428571444
text38-MATH-SHORT-2512.04101v1,QI,Name_x_Inst,0.017142857142857258
text39-MATH-SHORT-2506.11609v2,QI,Name_x_Inst,0.0514285714285716
text40-MATH-SHORT-2507.15879v2,QI,Name_x_Inst,-0.011428571428571389
text41-BIO-LONG-2512.06709v1,QI,Name_x_Inst,-0.05142857142857142
text42-BIO-LONG-2503.07104v1,QI,Name_x_Inst,0.011428571428571477
text43-BIO-LONG-2506.16577v1,QI,Name_x_Inst,-0.09714285714285716
text44-BIO-LONG-2505.20052v1,QI,Name_x_Inst,-0.10857142857142872
text45-BIO-LONG-2507.17897v4,QI,Name_x_Inst,-0.08571428571428577
text46-BIO-LONG-2505.05863v1,QI,Name_x_Inst,-0.03428571428571434
text47-BIO-LONG-2505.21094v1,QI,Name_x_Inst,-0.040000000000000036
text48-BIO-LONG-2602.16750v1,QI,Name_x_Inst,0.0
text49-BIO-LONG-2511.10014v1,QI,Name_x_Inst,0.022857142857142864
text50-BIO-LONG-2603.01054v1,QI,Name_x_Inst,0.011428571428571566
text51-CS-LONG-2602.11588v1,QI,Name_x_Inst,-0.005714285714285739
text52-CS-LONG-2602.15675v1,QI,Name_x_Inst,-0.05142857142857142
text53-CS-LONG-2603.02012v1,QI,Name_x_Inst,-0.011428571428571477
text54-CS-LONG-2602.23006v1,QI,Name_x_Inst,-0.01714285714285717
text55-CS-LONG-2602.21625v1,QI,Name_x_Inst,-0.10285714285714284
text56-CS-LONG-2602.13713v1,QI,Name_x_Inst,0.040000000000000036
text57-CS-LONG-2603.00079v1,QI,Name_x_Inst,0.011428571428571477
text58-CS-LONG-2603.01023v1,QI,Name_x_Inst,-0.022857142857142864
text59-CS-LONG-2602.19401v1,QI,Name_x_Inst,-0.09142857142857137
text60-CS-LONG-2602.18518v1,QI,Name_x_Inst,0.0
text61-PHY-LONG-2602.03885v1,QI,Name_x_Inst,-0.022857142857142777
text62-PHY-LONG-2511.21971v1,QI,Name_x_Inst,-0.02857142857142856
text63-PHY-LONG-2512.18015v1,QI,Name_x_Inst,-0.005714285714285694
text64-PHY-LONG-2602.23683v1,QI,Name_x_Inst,-0.05142857142857151
text65-PHY-LONG-2601.13267v1,QI,Name_x_Inst,-0.005714285714285783
text66-PHY-LONG-2512.24566v1,QI,Name_x_Inst,-0.01714285714285708
text67-PHY-LONG-2602.07636v2,QI,Name_x_Inst,0.08571428571428567
text68-PHY-LONG-2512.18130v1,QI,Name_x_Inst,0.1428571428571428
text69-PHY-LONG-2602.17389v1,QI,Name_x_Inst,0.09142857142857137
text70-PHY-LONG-2602.08188v1,QI,Name_x_Inst,-0.057142857142857204
text71-MATH-LONG-2511.12781v1,QI,Name_x_Inst,-0.01714285714285717
text72-MATH-LONG-2602.06095v1,QI,Name_x_Inst,0.09142857142857119
text73-MATH-LONG-2511.18101v1,QI,Name_x_Inst,0.06857142857142859
text74-MATH-LONG-2512.15978v1,QI,Name_x_Inst,0.01714285714285717
text75-MATH-LONG-2511.22140v1,QI,Name_x_Inst,-0.08000000000000007
text76-MATH-LONG-2602.20441v1,QI,Name_x_Inst,-0.028571428571428647
text77-MATH-LONG-2601.20851v2,QI,Name_x_Inst,-1.7763568394002506e-16
text78-MATH-LONG-2512.17595v1,QI,Name_x_Inst,0.1371428571428573
text79-MATH-LONG-2512.10129v1,QI,Name_x_Inst,0.039999999999999945
text80-MATH-LONG-2512.10507v1,QI,Name_x_Inst,0.06857142857142859
text01-BIO-SHORT-2505.02276v1,PI,BF_minus_WM,-0.036666666666666625
text02-BIO-SHORT-2507.04575v1,PI,BF_minus_WM,0.006666666666666654
text03-BIO-SHORT-2505.11568v3,PI,BF_minus_WM,0.10000000000000005
text04-BIO-SHORT-2507.08385v1,PI,BF_minus_WM,-0.09666666666666665
text05-BIO-SHORT-2504.10973v1,PI,BF_minus_WM,0.00666666666666661
text06-BIO-SHORT-2506.14789v1,PI,BF_minus_WM,0.06999999999999997
text07-BIO-SHORT-2506.13576v3,PI,BF_minus_WM,-0.009999999999999964
text08-BIO-SHORT-2503.19923v2,PI,BF_minus_WM,-0.016666666666666666
text09-BIO-SHORT-2602.00019v1,PI,BF_minus_WM,0.053333333333333344
text10-BIO-SHORT-2506.13817v1,PI,BF_minus_WM,-0.006666666666666677
text11-CS-SHORT-2506.09194v1,PI,BF_minus_WM,-0.00333333333333338
text12-CS-SHORT-2512.19717v1,PI,BF_minus_WM,0.043333333333333314
text13-CS-SHORT-2510.04124v5,PI,BF_minus_WM,-0.02333333333333338
text14-CS-SHORT-2509.13349v2,PI,BF_minus_WM,0.12333333333333332
text15-CS-SHORT-2602.03870v1,PI,BF_minus_WM,-0.01333333333333333
text16-CS-SHORT-2509.06033v1,PI,BF_minus_WM,0.009999999999999986
text17-CS-SHORT-2509.16294v1,PI,BF_minus_WM,-0.013333333333333305
text18-CS-SHORT-2507.09492v1,PI,BF_minus_WM,0.016666666666666614
text19-CS-SHORT-2509.14600v1,PI,BF_minus_WM,-0.006666666666666665
text20-CS-SHORT-2503.14899v1,PI,BF_minus_WM,0.010000000000000031
text21-PHY-SHORT-2601.23079v1,PI,BF_minus_WM,0.01666666666666672
text22-PHY-SHORT-2601.23047v1,PI,BF_minus_WM,0.09333333333333335
text23-PHY-SHORT-2601.23057v1,PI,BF_minus_WM,0.036666666666666646
text24-PHY-SHORT-2509.16741v1,PI,BF_minus_WM,0.006666666666666654
text25-PHY-SHORT-2507.08042v1,PI,BF_minus_WM,-1.1102230246251566e-17
text26-PHY-SHORT-2512.23538v1,PI,BF_minus_WM,0.08666666666666659
text27-PHY-SHORT-2510.18500v1,PI,BF_minus_WM,0.023333333333333352
text28-PHY-SHORT-2508.20431v1,PI,BF_minus_WM,-0.013333333333333364
text29-PHY-SHORT-2509.06825v1,PI,BF_minus_WM,0.03666666666666661
text30-PHY-SHORT-2509.17653v2,PI,BF_minus_WM,-0.0033333333333333106
text31-MATH-SHORT-2511.03536v1,PI,BF_minus_WM,0.03999999999999996
text32-MATH-SHORT-2603.02088v1,PI,BF_minus_WM,-0.026666666666666637
text33-MATH-SHORT-2512.22134v3,PI,BF_minus_WM,0.05333333333333331
text34-MATH-SHORT-2509.00532v1,PI,BF_minus_WM,0.03333333333333334
text35-MATH-SHORT-2512.06844v1,PI,BF_minus_WM,0.036666666666666695
text36-MATH-SHORT-2503.09380v2,PI,BF_minus_WM,-0.03333333333333331
text37-MATH-SHORT-2510.26426v1,PI,BF_minus_WM,0.07999999999999999
text38-MATH-SHORT-2512.04101v1,PI,BF_minus_WM,0.053333333333333344
text39-MATH-SHORT-2506.11609v2,PI,BF_minus_WM,-0.056666666666666664
text40-MATH-SHORT-2507.15879v2,PI,BF_minus_WM,0.013333333333333263
text41-BIO-LONG-2512.06709v1,PI,BF_minus_WM,0.049999999999999975
text42-BIO-LONG-2503.07104v1,PI,BF_minus_WM,-0.03333333333333326
text43-BIO-LONG-2506.16577v1,PI,BF_minus_WM,0.006666666666666732
text44-BIO-LONG-2505.20052v1,PI,BF_minus_WM,0.16
text45-BIO-LONG-2507.17897v4,PI,BF_minus_WM,0.009999999999999964
text46-BIO-LONG-2505.05863v1,PI,BF_minus_WM,0.026666666666666693
text47-BIO-LONG-2505.21094v1,PI,BF_minus_WM,-0.033333333333333326
text48-BIO-LONG-2602.16750v1,PI,BF_minus_WM,-0.03666666666666664
text49-BIO-LONG-2511.10014v1,PI,BF_minus_WM,0.033333333333333326
text50-BIO-LONG-2603.01054v1,PI,BF_minus_WM,0.03666666666666667
text51-CS-LONG-2602.11588v1,PI,BF_minus_WM,-0.053333333333333344
text52-CS-LONG-2602.15675v1,PI,BF_minus_WM,0.1266666666666667
text53-CS-LONG-2603.02012v1,PI,BF_minus_WM,-0.03666666666666676
text54-CS-LONG-2602.23006v1,PI,BF_minus_WM,0.029999999999999992
text55-CS-LONG-2602.21625v1,PI,BF_minus_WM,0.023333333333333317
text56-CS-LONG-2602.13713v1,PI,BF_minus_WM,-0.11000000000000003
text57-CS-LONG-2603.00079v1,PI,BF_minus_WM,0.1
text58-CS-LONG-2603.01023v1,PI,BF_minus_WM,0.030000000000000006
text59-CS-LONG-2602.19401v1,PI,BF_minus_WM,-0.04666666666666661
text60-CS-LONG-2602.18518v1,PI,BF_minus_WM,0.17666666666666667
text61-PHY-LONG-2602.03885v1,PI,BF_minus_WM,-0.020000000000000007
text62-PHY-LONG-2511.21971v1,PI,BF_minus_WM,0.06000000000000003
text63-PHY-LONG-2512.18015v1,PI,BF_minus_WM,-0.00666666666666671
text64-PHY-LONG-2602.23683v1,PI,BF_minus_WM,-0.029999999999999992
text65-PHY-LONG-2601.13267v1,PI,BF_minus_WM,0.05999999999999994
text66-PHY-LONG-2512.24566v1,PI,BF_minus_WM,-0.09666666666666668
text67-PHY-LONG-2602.07636v2,PI,BF_minus_WM,-0.1666666666666667
text68-PHY-LONG-2512.18130v1,PI,BF_minus_WM,-0.039999999999999966
text69-PHY-LONG-2602.17389v1,PI,BF_minus_WM,0.03999999999999994
text70-PHY-LONG-2602.08188v1,PI,BF_minus_WM,0.026666666666666655
text71-MATH-LONG-2511.12781v1,PI,BF_minus_WM,-0.1833333333333333
text72-MATH-LONG-2602.06095v1,PI,BF_minus_WM,0.06666666666666668
text73-MATH-LONG-2511.18101v1,PI,BF_minus_WM,0.06333333333333335
text74-MATH-LONG-2512.15978v1,PI,BF_minus_WM,0.07666666666666659
text75-MATH-LONG-2511.22140v1,PI,BF_minus_WM,-0.11666666666666665
text76-MATH-LONG-2602.20441v1,PI,BF_minus_WM,0.2333333333333333
text77-MATH-LONG-2601.20851v2,PI,BF_minus_WM,-0.1066666666666666
text78-MATH-LONG-2512.17595v1,PI,BF_minus_WM,-0.0566666666666667
text79-MATH-LONG-2512.10129v1,PI,BF_minus_WM,-0.003333333333333388
text80-MATH-LONG-2512.10507v1,PI,BF_minus_WM,0.03999999999999995
text01-BIO-SHORT-2505.02276v1,PI,HI_minus_LI,-0.030000000000000047
text02-BIO-SHORT-2507.04575v1,PI,HI_minus_LI,0.14000000000000004
text03-BIO-SHORT-2505.11568v3,PI,HI_minus_LI,0.1933333333333333
text04-BIO-SHORT-2507.08385v1,PI,HI_minus_LI,0.10333333333333336
text05-BIO-SHORT-2504.10973v1,PI,HI_minus_LI,0.12000000000000002
text06-BIO-SHORT-2506.14789v1,PI,HI_minus_LI,-0.06999999999999997
text07-BIO-SHORT-2506.13576v3,PI,HI_minus_LI,0.1966666666666667
text08-BIO-SHORT-2503.19923v2,PI,HI_minus_LI,-0.06333333333333332
text09-BIO-SHORT-2602.00019v1,PI,HI_minus_LI,0.11999999999999997
text10-BIO-SHORT-2506.13817v1,PI,HI_minus_LI,0.28666666666666674
text11-CS-SHORT-2506.09194v1,PI,HI_minus_LI,-0.0033333333333333214
text12-CS-SHORT-2512.19717v1,PI,HI_minus_LI,0.25666666666666665
text13-CS-SHORT-2510.04124v5,PI,HI_minus_LI,0.06333333333333332
text14-CS-SHORT-2509.13349v2,PI,HI_minus_LI,0.2766666666666666
text15-CS-SHORT-2602.03870v1,PI,HI_minus_LI,-2.2204460492503132e-17
text16-CS-SHORT-2509.06033v1,PI,HI_minus_LI,0.049999999999999975
text17-CS-SHORT-2509.16294v1,PI,HI_minus_LI,-0.01333333333333333
text18-CS-SHORT-2507.09492v1,PI,HI_minus_LI,0.01666666666666672
text19-CS-SHORT-2509.14600v1,PI,HI_minus_LI,0.08666666666666664
text20-CS-SHORT-2503.14899v1,PI,HI_minus_LI,0.010000000000000031
text21-PHY-SHORT-2601.23079v1,PI,HI_minus_LI,0.06333333333333331
text22-PHY-SHORT-2601.23047v1,PI,HI_minus_LI,-0.08666666666666668
text23-PHY-SHORT-2601.23057v1,PI,HI_minus_LI,0.06999999999999999
